iter	Passed	Remaining
0	1	2078
1	2	2170
2	3	2094
3	4	2059
4	5	2010
5	6	2255
6	7	2198
7	8	2162
8	9	2112
9	10	2110
10	11	2085
11	12	2061
12	13	2018
13	14	2009
14	15	2014
15	16	2076
16	17	2056
17	18	1988
18	19	1994
19	20	1993
20	21	1986
21	22	1986
22	23	2031
23	24	2021
24	25	1982
25	26	1978
26	27	1990
27	28	1984
28	29	2026
29	30	2004
30	31	2002
31	32	1991
32	34	2069
33	35	2060
34	37	2084
35	38	2075
36	39	2069
37	39	2062
38	40	2057
39	41	2052
40	42	2049
41	44	2069
42	45	2064
43	46	2059
44	47	2056
45	48	2053
46	48	2027
47	49	2025
48	50	2024
49	51	2020
50	53	2042
51	53	2021
52	56	2062
53	56	2046
54	57	2039
55	59	2052
56	60	2046
57	60	2041
58	62	2061
59	63	2055
60	64	2048
61	65	2042
62	66	2034
63	67	2029
64	68	2024
65	68	2021
66	69	2018
67	71	2035
68	72	2033
69	73	2028
70	74	2024
71	75	2022
72	76	2015
73	77	2020
74	78	2018
75	79	2015
76	80	2009
77	81	2008
78	82	1997
79	83	1995
80	84	1990
81	85	1988
